"Step","model_class_str: fully_connected_dropout - valid_mse","model_class_str: fully_connected_dropout - valid_mse__MIN","model_class_str: fully_connected_dropout - valid_mse__MAX"
"50","0.037406016141176224","0.037045918405056","0.03776611387729645"
"101","0.03674286976456642","0.03553967922925949","0.03794606029987335"
"152","0.03521003760397434","0.03404989093542099","0.036370184272527695"
"203","0.03430870175361633","0.03396204486489296","0.034655358642339706"
"254","0.03386514261364937","0.033401645720005035","0.0343286395072937"
"305","0.03340181149542332","0.03286060318350792","0.033943019807338715"
"356","0.03327631764113903","0.032890502363443375","0.033662132918834686"
"407","0.03276226855814457","0.03208696469664574","0.0334375724196434"
"458","0.03245332092046738","0.03238329291343689","0.032523348927497864"
"509","0.032222745940089226","0.03184923529624939","0.03259625658392906"
"560","0.03229939751327038","0.03177223727107048","0.032826557755470276"
"611","0.0321963457390666","0.031013989821076393","0.03337870165705681"
"662","0.03212563134729862","0.03178800642490387","0.032463256269693375"
"713","0.03126591630280018","0.031016938388347626","0.03151489421725273"
"764","0.03117068763822317","0.030767088755965233","0.03157428652048111"
"815","0.03172830305993557","0.031555335968732834","0.031901270151138306"
"866","0.031242400407791138","0.030514590442180634","0.03197021037340164"
"917","0.03170312941074371","0.031580109149217606","0.03182614967226982"
"968","0.03139582648873329","0.031141214072704315","0.03165043890476227"
"1050","0.03154889680445194","0.031270936131477356","0.03182685747742653"
"1101","0.03167187515646219","0.030930524691939354","0.03241322562098503"
"1152","0.031032402999699116","0.030725104734301567","0.031339701265096664"
"1203","0.031109889969229698","0.030893754214048386","0.03132602572441101"
"1254","0.03138227853924036","0.031110813841223717","0.031653743237257004"
"1305","0.030817032791674137","0.030394870787858963","0.03123919479548931"
"1356","0.03111414983868599","0.03064635396003723","0.03158194571733475"
"1407","0.030774117447435856","0.030453043058514595","0.031095191836357117"
"1458","0.030774524435400963","0.03019643947482109","0.031352609395980835"
"1509","0.0307045616209507","0.030196527019143105","0.031212596222758293"
"1560","0.0311960531398654","0.03079528920352459","0.03159681707620621"
"1611","0.031105605885386467","0.030670542269945145","0.03154066950082779"
"1662","0.03049609437584877","0.03011455573141575","0.03087763302028179"
"1713","0.03056049905717373","0.030183913186192513","0.030937084928154945"
"1764","0.030452745966613293","0.030018631368875504","0.030886860564351082"
"1815","0.03059336356818676","0.030088728293776512","0.031097998842597008"
"1866","0.03079819492995739","0.03075277805328369","0.030843611806631088"
"1917","0.03088783100247383","0.030579818412661552","0.03119584359228611"
"1968","0.030741039663553238","0.030480101704597473","0.031001977622509003"
"2050","0.030724691227078438","0.030264021828770638","0.031185360625386238"
"2101","0.03104778379201889","0.03074464201927185","0.03135092556476593"
"2152","0.03059221711009741","0.030354030430316925","0.03083040378987789"
"2203","0.03099733404815197","0.030733365565538406","0.03126130253076553"
"2254","0.03091232292354107","0.030672062188386917","0.03115258365869522"
"2305","0.03074729535728693","0.030388381332159042","0.031106209382414818"
"2356","0.030475204810500145","0.030187834054231644","0.030762575566768646"
"2407","0.030385036021471024","0.030110260471701622","0.030659811571240425"
"2458","0.030404441989958286","0.030050605535507202","0.03075827844440937"
"2509","0.03010465484112501","0.029623258858919144","0.03058605082333088"
"2560","0.030664301477372646","0.030346158891916275","0.030982444062829018"
"2611","0.030827121809124947","0.030733564868569374","0.03092067874968052"
"2662","0.030656901188194752","0.03012547269463539","0.031188329681754112"
"2713","0.030443505384027958","0.02977059967815876","0.031116411089897156"
"2764","0.03057316690683365","0.030409900471568108","0.03073643334209919"
"2815","0.030830866657197475","0.02991366945207119","0.03174806386232376"
"2866","0.030564792454242706","0.030133632943034172","0.03099595196545124"
"2917","0.030288398265838623","0.030223269015550613","0.030353527516126633"
"2968","0.03044022899121046","0.0302769485861063","0.03060350939631462"
"3050","0.030707567930221558","0.030445775017142296","0.03096936084330082"
"3101","0.030377247370779514","0.02997036837041378","0.03078412637114525"
"3152","0.030304081737995148","0.030128218233585358","0.030479945242404938"
"3203","0.02999369241297245","0.02967691794037819","0.03031046688556671"
"3254","0.030408249236643314","0.030148057267069817","0.030668441206216812"
"3305","0.030398056842386723","0.02982511930167675","0.030970994383096695"
"3356","0.030653592199087143","0.03037816286087036","0.030929021537303925"
"3407","0.029915879480540752","0.029895171523094177","0.029936587437987328"
"3458","0.030051279813051224","0.029577525332570076","0.03052503429353237"
"3509","0.030414994806051254","0.030099889263510704","0.030730100348591805"
"3560","0.03038318920880556","0.03038196638226509","0.03038441203534603"
"3611","0.030480639077723026","0.02978895790874958","0.031172320246696472"
"3662","0.03006536327302456","0.02982415072619915","0.030306575819849968"
"3713","0.030315051786601543","0.029601581394672394","0.031028522178530693"
"3764","0.03010997548699379","0.029929956421256065","0.030289994552731514"
"3815","0.030331948772072792","0.02989831380546093","0.030765583738684654"
"3866","0.030115632340312004","0.029778292402625084","0.030452972277998924"
"3917","0.030181584879755974","0.02948877587914467","0.03087439388036728"
"3968","0.03024224005639553","0.029942555353045464","0.030541924759745598"
