"Step","model_class_str: fully_connected_dropout - valid_mse","model_class_str: fully_connected_dropout - valid_mse__MIN","model_class_str: fully_connected_dropout - valid_mse__MAX"
"50","0.03812721371650696","0.03756970912218094","0.03868471831083298"
"101","0.03629656508564949","0.03544961288571358","0.0371435172855854"
"152","0.03459423780441284","0.03379359468817711","0.035394880920648575"
"203","0.03381364233791828","0.033074751496315","0.03455253317952156"
"254","0.03364509344100952","0.03263691067695618","0.034653276205062866"
"305","0.033271120861172676","0.0324132926762104","0.03412894904613495"
"356","0.03252275288105011","0.03143319860100746","0.03361230716109276"
"407","0.031992245465517044","0.03124913200736046","0.03273535892367363"
"458","0.03203084319829941","0.031720805913209915","0.0323408804833889"
"509","0.03156147710978985","0.031011369079351425","0.03211158514022827"
"560","0.03148684278130531","0.030590102076530457","0.03238358348608017"
"611","0.03150060307234526","0.030863283202052116","0.0321379229426384"
"662","0.031693543307483196","0.030877934768795967","0.032509151846170425"
"713","0.030881386250257492","0.03020802140235901","0.031554751098155975"
"764","0.031006276607513428","0.030910031870007515","0.03110252134501934"
"815","0.030597674660384655","0.029827406629920006","0.031367942690849304"
"866","0.03043157234787941","0.029991738498210907","0.030871406197547913"
"917","0.0299978107213974","0.02945661172270775","0.03053900972008705"
"968","0.02967690210789442","0.02917071059346199","0.03018309362232685"
"1050","0.030503242276608944","0.0304139144718647","0.030592570081353188"
"1101","0.029597075656056404","0.0290359016507864","0.03015824966132641"
"1152","0.029614800587296486","0.02933708392083645","0.029892517253756523"
"1203","0.029477450996637344","0.02882741205394268","0.03012748993933201"
"1254","0.02877602633088827","0.0284618828445673","0.029090169817209244"
"1305","0.028998923487961292","0.028319815173745155","0.02967803180217743"
"1356","0.02885196078568697","0.0282327588647604","0.02947116270661354"
"1407","0.029011438600718975","0.02875090204179287","0.02927197515964508"
"1458","0.028321930207312107","0.02789430506527424","0.028749555349349976"
"1509","0.028218580409884453","0.027607658877968788","0.028829501941800117"
"1560","0.027573549188673496","0.027541249990463257","0.027605848386883736"
"1611","0.027297966182231903","0.027043551206588745","0.02755238115787506"
"1662","0.026171160861849785","0.025828558951616287","0.026513762772083282"
"1713","0.026250850409269333","0.02560747042298317","0.026894230395555496"
"1764","0.02474685851484537","0.024092134088277817","0.025401582941412926"
"1815","0.022701053880155087","0.020856717601418495","0.024545390158891678"
"1866","0.022111691534519196","0.0211749617010355","0.02304842136800289"
"1917","0.01900408510118723","0.017543025314807892","0.020465144887566566"
"1968","0.018192337825894356","0.01780075766146183","0.01858391799032688"
"2050","0.016442290507256985","0.015945881605148315","0.016938699409365654"
"2101","0.016182206105440855","0.01538089383393526","0.01698351837694645"
"2152","0.016454268246889114","0.0156715027987957","0.01723703369498253"
"2203","0.0156653905287385","0.01564771868288517","0.015683062374591827"
"2254","0.015450226608663797","0.015243894420564175","0.01565655879676342"
"2305","0.015733647625893354","0.015431155450642109","0.0160361398011446"
"2356","0.015097923576831818","0.014994146302342415","0.01520170085132122"
"2407","0.015419372357428074","0.015232856385409832","0.015605888329446316"
"2458","0.014763245824724436","0.014608093537390232","0.01491839811205864"
"2509","0.014389119576662779","0.01431787759065628","0.014460361562669277"
"2560","0.014245438389480114","0.01420543808490038","0.014285438694059849"
"2611","0.014457738026976585","0.014184748753905296","0.014730727300047874"
"2662","0.015091198962181807","0.014996797777712345","0.015185600146651268"
"2713","0.014172320254147053","0.013911005109548569","0.014433635398745537"
"2764","0.014645677991211414","0.01412171870470047","0.015169637277722359"
"2815","0.014089352916926146","0.01402315590530634","0.014155549928545952"
"2866","0.01468890393152833","0.01416361890733242","0.01521418895572424"
"2917","0.01474840845912695","0.014386635273694992","0.015110181644558907"
"2968","0.014580940827727318","0.014264512807130814","0.014897368848323822"
"3050","0.013691706117242575","0.013675052672624588","0.013708359561860561"
"3101","0.013721340335905552","0.013581016100943089","0.013861664570868015"
"3152","0.014433915726840496","0.01422970648854971","0.014638124965131283"
"3203","0.013537463266402483","0.013502644374966621","0.013572282157838345"
"3254","0.013452749699354172","0.013396387919783592","0.013509111478924751"
"3305","0.01366974925622344","0.013579471968114376","0.013760026544332504"
"3356","0.013490105513483286","0.013460423797369003","0.013519787229597569"
"3407","0.013621773570775986","0.013487014919519424","0.013756532222032547"
"3458","0.013740808237344027","0.013494467362761497","0.013987149111926556"
"3509","0.013356856536120176","0.013260452076792717","0.013453260995447636"
"3560","0.014199412427842617","0.013600923120975494","0.01479790173470974"
"3611","0.013273929245769978","0.01325234118849039","0.013295517303049564"
"3662","0.013428868725895882","0.013327931053936481","0.013529806397855282"
"3713","0.013774785213172436","0.01313858199864626","0.014410988427698612"
"3764","0.013083340600132942","0.013017227873206139","0.013149453327059746"
"3815","0.012998235411942005","0.012802415527403355","0.013194055296480656"
"3866","0.012909123208373785","0.012700004503130913","0.013118241913616657"
"3917","0.013487864285707474","0.01311620231717825","0.013859526254236698"
"3968","0.013251061551272869","0.012582178227603436","0.013919944874942303"
