"Step","model_class_str: fully_connected - valid_mse","model_class_str: fully_connected - valid_mse__MIN","model_class_str: fully_connected - valid_mse__MAX"
"50","0.013863313011825085","0.013649954460561275","0.014076671563088894"
"101","0.014578371308743954","0.013983243145048618","0.015173499472439289"
"152","0.013918448705226183","0.013600788079202175","0.01423610933125019"
"203","0.013712786603718996","0.01338969636708498","0.014035876840353012"
"254","0.013528644572943449","0.013299785554409027","0.013757503591477871"
"305","0.013623831793665886","0.01338281575590372","0.013864847831428051"
"356","0.013853281270712614","0.01384189072996378","0.013864671811461449"
"407","0.013750989455729723","0.013597384095191956","0.01390459481626749"
"458","0.013550276402384043","0.013226191513240337","0.013874361291527748"
"509","0.013589933514595032","0.013364081270992756","0.013815785758197308"
"560","0.013487237505614758","0.013257858343422413","0.013716616667807102"
"611","0.013789281249046326","0.013184729963541031","0.01439383253455162"
"662","0.01348606776446104","0.013099275529384613","0.013872859999537468"
"713","0.013544092886149883","0.013439172878861427","0.01364901289343834"
"764","0.013415712863206863","0.01323909591883421","0.013592329807579517"
"815","0.013487896881997585","0.013397975824773312","0.013577817939221859"
"866","0.013379198033362627","0.013176151551306248","0.013582244515419006"
"917","0.013347870670258999","0.013087049126625061","0.013608692213892937"
"968","0.013415747787803411","0.013287191279232502","0.013544304296374321"
"1050","0.013447178062051535","0.013259061612188816","0.013635294511914253"
"1101","0.013363799545913935","0.013174681924283504","0.013552917167544365"
"1152","0.013416229747235775","0.01325282547622919","0.01357963401824236"
"1203","0.013472385238856077","0.013151372782886028","0.013793397694826126"
"1254","0.013456071726977825","0.013094068504869938","0.013818074949085712"
"1305","0.013770796824246645","0.01319087389856577","0.01435071974992752"
"1356","0.013317049015313387","0.013093635439872742","0.013540462590754032"
"1407","0.013499569147825241","0.013233372010290623","0.01376576628535986"
"1458","0.013396451715379953","0.013379979878664017","0.01341292355209589"
"1509","0.01341768866404891","0.013118918985128403","0.013716458342969418"
"1560","0.013682645745575428","0.013500023633241653","0.013865267857909203"
"1611","0.013347263913601637","0.013108383864164352","0.013586143963038921"
"1662","0.013379776384681463","0.013022526167333126","0.0137370266020298"
"1713","0.013265290297567844","0.013127903454005718","0.01340267714112997"
"1764","0.01358722522854805","0.013445727527141571","0.013728722929954529"
"1815","0.013529934920370579","0.013449640944600105","0.013610228896141052"
"1866","0.013299638405442238","0.013019779697060585","0.01357949711382389"
"1917","0.013426611199975014","0.013070457614958286","0.013782764784991741"
"1968","0.013405905570834875","0.013014166615903378","0.013797644525766373"
"2050","0.013498438987880945","0.013132600113749504","0.013864277862012386"
"2101","0.013369912281632423","0.013151376508176327","0.01358844805508852"
"2152","0.013286757748574018","0.012984160333871841","0.013589355163276196"
"2203","0.013292553834617138","0.013089992105960846","0.01349511556327343"
"2254","0.013230748940259218","0.013047880493104458","0.013413617387413979"
"2305","0.0132983960211277","0.013042660430073738","0.013554131612181664"
"2356","0.013248967472463846","0.013143100775778294","0.013354834169149399"
"2407","0.013306028675287962","0.013176708482205868","0.013435348868370056"
"2458","0.01330113410949707","0.013139966875314713","0.013462301343679428"
"2509","0.013455018866807222","0.013268501497805119","0.013641536235809326"
"2560","0.013258876278996468","0.013117336668074131","0.013400415889918804"
"2611","0.013525913469493389","0.01322492677718401","0.013826900161802769"
"2662","0.013326073065400124","0.013155937194824219","0.013496208935976028"
"2713","0.013247606344521046","0.013042869046330452","0.01345234364271164"
"2764","0.013366070110350847","0.013121186755597591","0.013610953465104103"
"2815","0.013278080150485039","0.012959281913936138","0.01359687838703394"
"2866","0.013246780727058649","0.0130316112190485","0.013461950235068798"
"2917","0.013276631478220224","0.013078834861516953","0.013474428094923496"
"2968","0.013289190828800201","0.013173025101423264","0.01340535655617714"
"3050","0.0133185931481421","0.013194180093705654","0.013443006202578545"
"3101","0.01326174009591341","0.013027493841946125","0.013495986349880695"
"3152","0.013455184176564217","0.013380832970142365","0.013529535382986069"
"3203","0.013363837264478207","0.013252015225589275","0.013475659303367138"
"3254","0.013312154449522495","0.013101666234433651","0.01352264266461134"
"3305","0.013254959601908922","0.013176527805626392","0.013333391398191452"
"3356","0.01323592895641923","0.012921122834086418","0.01355073507875204"
"3407","0.013342619873583317","0.013013006187975407","0.013672233559191227"
"3458","0.013313658069819212","0.012929855845868587","0.013697460293769836"
"3509","0.013535326812416315","0.013021253980696201","0.014049399644136429"
"3560","0.013299250043928623","0.013197061605751514","0.013401438482105732"
"3611","0.013421453069895506","0.013010310009121895","0.013832596130669117"
"3662","0.013290839735418558","0.013025891967117786","0.01355578750371933"
"3713","0.01324146194383502","0.013084223493933678","0.013398700393736362"
"3764","0.013366837985813618","0.013144382275640965","0.013589293695986271"
"3815","0.01326132332906127","0.013031198643147945","0.013491448014974594"
"3866","0.013597254175692797","0.013334494084119797","0.013860014267265797"
"3917","0.013226436916738749","0.013049248605966568","0.013403625227510929"
"3968","0.013403317891061306","0.013390685431659222","0.01341595035046339"
