"Step","model_class_str: fully_connected - valid_mse","model_class_str: fully_connected - valid_mse__MIN","model_class_str: fully_connected - valid_mse__MAX"
"50","0.09189105406403542","0.09155531972646713","0.0922267884016037"
"101","0.08913207799196243","0.08848492056131363","0.08977923542261124"
"152","0.08930732309818268","0.08923783898353577","0.08937680721282959"
"203","0.0900995321571827","0.08949639648199081","0.09070266783237457"
"254","0.08913818374276161","0.08889321237802505","0.08938315510749817"
"305","0.08933039754629135","0.08908268809318542","0.08957810699939728"
"356","0.08906739205121994","0.08868373930454254","0.08945104479789734"
"407","0.08908215165138245","0.08905752003192902","0.08910678327083588"
"458","0.08870262652635574","0.08853698521852493","0.08886826783418655"
"509","0.08935652673244476","0.0888354703783989","0.08987758308649063"
"560","0.088592279702425","0.08838363736867905","0.08880092203617096"
"611","0.08859642967581749","0.08847532421350479","0.08871753513813019"
"662","0.0887453630566597","0.08873395621776581","0.08875676989555359"
"713","0.08960967138409615","0.0890815481543541","0.0901377946138382"
"764","0.08892544731497765","0.08849860727787018","0.08935228735208511"
"815","0.08972513675689697","0.088652104139328","0.09079816937446594"
"866","0.08927490189671516","0.08895504474639893","0.0895947590470314"
"917","0.08886174857616425","0.08868494629859924","0.08903855085372925"
"968","0.08878739923238754","0.08877207338809967","0.08880272507667542"
"1050","0.08859682828187943","0.08839226514101028","0.08880139142274857"
"1101","0.08878190442919731","0.08846327662467957","0.08910053223371506"
"1152","0.08955587819218636","0.08870573341846466","0.09040602296590805"
"1203","0.08883867785334587","0.08850756287574768","0.08916979283094406"
"1254","0.088504608720541","0.08820408582687378","0.08880513161420822"
"1305","0.08853228390216827","0.08836354315280914","0.0887010246515274"
"1356","0.08907363563776016","0.0887843668460846","0.08936290442943573"
"1407","0.08918124064803123","0.08904137462377548","0.08932110667228699"
"1458","0.08865146338939667","0.08840065449476242","0.08890227228403091"
"1509","0.0889567881822586","0.08861659467220306","0.08929698169231415"
"1560","0.08874227479100227","0.08868847787380219","0.08879607170820236"
"1611","0.08863497897982597","0.08858714252710342","0.08868281543254852"
"1662","0.08872038871049881","0.08826727420091629","0.08917350322008133"
"1713","0.08864789828658104","0.08839863538742065","0.08889716118574142"
"1764","0.08880069106817245","0.08858834952116013","0.08901303261518478"
"1815","0.08870051428675652","0.08852460980415344","0.08887641876935959"
"1866","0.08961522951722145","0.08824898302555084","0.09098147600889206"
"1917","0.0887477695941925","0.08873387426137924","0.08876166492700577"
"1968","0.08875595033168793","0.08867332339286804","0.08883857727050781"
"2050","0.08860787004232407","0.08843711018562317","0.08877862989902496"
"2101","0.08868401870131493","0.08832118660211563","0.08904685080051422"
"2152","0.08845316246151924","0.08828220516443253","0.08862411975860596"
"2203","0.0884663313627243","0.0882410779595375","0.0886915847659111"
"2254","0.08851883932948112","0.0884350836277008","0.08860259503126144"
"2305","0.08915302902460098","0.08869029581546783","0.08961576223373413"
"2356","0.08854592218995094","0.08850868046283722","0.08858316391706467"
"2407","0.08873176574707031","0.08837392926216125","0.08908960223197937"
"2458","0.08837011456489563","0.0882292091846466","0.08851101994514465"
"2509","0.08854126930236816","0.08832427859306335","0.08875826001167297"
"2560","0.08878753334283829","0.08868769556283951","0.08888737112283707"
"2611","0.08849752321839333","0.08843818306922913","0.08855686336755753"
"2662","0.08844506740570068","0.08836691826581955","0.08852321654558182"
"2713","0.08899983391165733","0.08860476315021515","0.08939490467309952"
"2764","0.08849523216485977","0.08841598778963089","0.08857447654008865"
"2815","0.08864521235227585","0.08842258900403976","0.08886783570051193"
"2866","0.08843345195055008","0.088283471763134","0.08858343213796616"
"2917","0.08860951662063599","0.0885881781578064","0.08863085508346558"
"2968","0.08865628764033318","0.08860340714454651","0.08870916813611984"
"3050","0.0886305496096611","0.08830595016479492","0.08895514905452728"
"3101","0.08862331882119179","0.08850416541099548","0.08874247223138809"
"3152","0.08863382413983345","0.08859619498252869","0.08867145329713821"
"3203","0.08862591534852982","0.08852068334817886","0.08873114734888077"
"3254","0.08843327686190605","0.08836302161216736","0.08850353211164474"
"3305","0.08842010796070099","0.08827133476734161","0.08856888115406036"
"3356","0.08854252845048904","0.08852658420801163","0.08855847269296646"
"3407","0.08839316666126251","0.08835374563932419","0.08843258768320084"
"3458","0.08864320069551468","0.08860503882169724","0.08868136256933212"
"3509","0.08873318508267403","0.08871030807495117","0.08875606209039688"
"3560","0.08859645947813988","0.08844371885061264","0.08874920010566711"
"3611","0.08886004611849785","0.0886281356215477","0.089091956615448"
"3662","0.08857505768537521","0.08856825530529022","0.0885818600654602"
"3713","0.08924701064825058","0.08889199048280716","0.089602030813694"
"3764","0.08856837823987007","0.08829636871814728","0.08884038776159286"
"3815","0.0885130725800991","0.08848192542791367","0.08854421973228455"
"3866","0.08859966322779655","0.08841559290885925","0.08878373354673386"
"3917","0.08868113532662392","0.08867251873016357","0.08868975192308426"
"3968","0.08871494978666306","0.08856312930583954","0.08886677026748657"
